State,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces,BelowPovertyLevel,AtAbovePovertyLevel,LessHighSchool,HighSchoolGraduate,SomeCollege/Associates,Bachelors+,Employment16to19,Employment20to24,Employment25to29,Employment30to34,Employment35to44,Employment45to54,Employment55to59,Employment60to64,Employment65to74,Employment75andover,Employment20to64,Employment20to64Male,Employment20to64Female,EmploymentBelowpovertylevel,EmploymentAtAbovePovertyLevel,Employment25to64,EmploymentLessHighSchool,EmploymentHighSchool,EmploymentSomeCollege/Associates,EmploymentBachelors+,Unemployment16to19,Unemployment20to24,Unemployment25to29,Unemployment30to34,Unemployment35to44,Unemployment45to54,Unemployment55to59,Unemployment60to64,Unemployment65to74,Unemployment75andover,Unemployment20to64,Unemployment20to64Male,Unemployment20to64Female,UnemploymentBelowPovertyLevel,UnemploymentAtAbovePovertyLevel,Unemployment,UnemploymentLessHighSchool,UnemploymentHighSchool,UnemploymentSomeCollege/Associates,UnemploymentBachelors+
Michigan,9962311,4907242,49.3,5055069,50.7,572370,5.7,581055,5.8,628301,6.3,666157,6.7,695118,7,1266361,12.7,1157393,11.6,1328423,13.3,718892,7.2,683128,6.9,978239,9.8,478891,4.8,207983,2.1,7786450,78.2,3792561,48.7,3993889,51.3,1665113,16.7,742956,44.6,922157,55.4,9667782,97,7814775,78.4,1374615,13.8,53461,0.5,308052,3.1,2951,0,504398,5.1,113928,1.1,294529,3,774589,4984906,411712,1392693,1770926,1578866,35.4,70.6,76.9,77.5,78,76.7,67.5,51,20.5,5.9,72.2,75.7,68.7,36.2,78.8,72.4,46,65,74.1,84,18.4,9.6,7.6,6.2,4.5,3.9,3.9,3.2,3.4,2.4,5.4,5.7,5,25,3.6,4.8,12.5,6.5,4.8,2.3
Minnesota,5576606,2780714,49.9,2795892,50.1,353860,6.3,361500,6.5,367960,6.6,361857,6.5,353013,6.3,758807,13.6,701136,12.6,708904,12.7,394482,7.1,356183,6.4,492811,8.8,249371,4.5,116722,2.1,4278824,76.7,2116447,49.5,2162377,50.5,858904,15.4,388576,45.2,470328,54.8,5418369,97.2,4610465,82.7,361130,6.5,60803,1.1,273194,4.9,2044,0,296666,5.3,110733,2,158237,2.8,291176,2941706,181168,644115,980363,1113866,46.3,80.4,85.5,85.2,86,84.4,77.4,63.7,27.7,6.4,81.4,83.9,78.9,45.4,85.7,81.6,59.4,74.8,82.6,88.1,12.1,5.2,3.7,3.6,2.9,2.6,3,2.1,1.9,2.4,3.2,3.5,2.9,15.2,2.5,3,8,3.9,3.1,1.8
Missouri,6113532,3002694,49.1,3110838,50.9,374001,6.1,375209,6.1,400738,6.6,405662,6.6,407647,6.7,814462,13.3,729164,11.9,773476,12.7,427294,7,395610,6.5,583687,9.5,303484,5,123098,2,4725871,77.3,2289651,48.4,2436220,51.6,1010269,16.5,445846,44.1,564423,55.9,5952255,97.4,5013597,82,698380,11.4,25567,0.4,124518,2,8956,0.1,255803,4.2,81237,1.3,161277,2.6,434772,3035992,286505,904243,974667,974591,38,70.9,78.4,80.3,80.6,77.5,68.7,53.3,24,6.7,74,77.2,71,38.5,80.7,74.5,48.9,68.1,76.5,85.8,14.5,7.9,5.8,4.2,3.6,3.4,2.8,2.6,2.3,2.6,4.2,4.4,4,18.6,3.1,3.7,10.6,5.3,3.1,1.9
Nevada,2998039,1506252,50.2,1491787,49.8,184055,6.1,193972,6.5,190212,6.3,181284,6,185336,6.2,436060,14.5,400006,13.3,396715,13.2,196390,6.6,175330,5.8,286595,9.6,130841,4.4,41243,1.4,2314082,77.2,1154611,49.9,1159471,50.1,458679,15.3,217276,47.4,241403,52.6,2858836,95.4,1936859,64.6,274550,9.2,37910,1.3,255025,8.5,20761,0.7,864663,28.8,333731,11.1,139203,4.6,209395,1556329,213605,463219,533348,394329,28.9,70.8,78.5,77.1,78.3,76.2,68.4,49.5,22.8,6.4,73.1,78.1,67.9,38.8,78.8,73.3,66.2,70.3,74,79.7,21.1,9.4,5.7,6,4.8,4.3,4.4,5.2,4.7,6.6,5.4,5.2,5.6,24.8,3.8,5,6.5,6.1,4.9,3.1
NewYork,19849399,9637896,48.6,10211503,51.4,1157597,5.8,1117817,5.6,1163438,5.9,1237311,6.2,1352104,6.8,2923367,14.7,2471713,12.5,2661217,13.4,1346547,6.8,1257239,6.3,1786400,9,929667,4.7,444982,2.2,15695902,79.1,7515307,47.9,8180595,52.1,3161049,15.9,1353360,42.8,1807689,57.2,19247328,97,12523357,63.1,3136984,15.8,76069,0.4,1734663,8.7,7397,0,3811654,19.2,1768858,8.9,602071,3,1494547,10314312,1247033,2635741,2698071,4079238,25.1,60.7,77.3,79.3,79.3,77.8,70.3,57.6,26.5,7.3,73.3,76.7,70,34.3,80.1,74.9,54.6,68.2,75.3,85.3,18.1,11,6.4,5.3,4.3,4.1,3.7,3.3,3.5,3.8,5.2,5.6,4.8,23.2,3.8,4.6,8.4,5.8,4.8,2.9
NorthCarolina,10273419,4998538,48.7,5274881,51.3,601181,5.9,629442,6.1,665657,6.5,694964,6.8,690990,6.7,1352154,13.2,1305272,12.7,1390045,13.5,684650,6.7,629066,6.1,987947,9.6,463493,4.5,178558,1.7,7972229,77.6,3820732,47.9,4151497,52.1,1629998,15.9,711245,43.6,918753,56.4,10006431,97.4,7066745,68.8,2206579,21.5,119909,1.2,295672,2.9,8385,0.1,962466,9.4,309141,3,266988,2.6,799343,5128876,584146,1296509,1713940,1766592,30.2,62.3,76.3,77.3,78.3,76.6,67.6,51.8,22.9,6.4,71.8,75,68.7,37.9,78.6,73,54.3,66.8,74,82.8,18.6,10.5,6.6,4.9,4,3.4,3.6,2.3,2.9,3.2,4.8,4.7,4.9,20,3.4,4.1,7.7,5.5,4.3,2.3
Ohio,11658609,5709254,49,5949355,51,695130,6,702748,6,744908,6.4,776500,6.7,757438,6.5,1525401,13.1,1383026,11.9,1519661,13,826621,7.1,787560,6.8,1118412,9.6,572324,4.9,248880,2.1,9056612,77.7,4377403,48.3,4679209,51.7,1939616,16.6,847873,43.7,1091743,56.3,11317629,97.1,9480074,81.3,1441353,12.4,23720,0.2,257518,2.2,4216,0,436762,3.7,110748,0.9,340980,2.9,881796,5788288,512461,1888065,1847435,1794308,37.8,71.5,78.3,79.5,79.7,77.7,68.8,54.3,24.6,5.7,73.9,77.1,70.7,38.1,80.6,74.2,46.2,68.4,76.9,85.4,16.7,8.2,6.4,5,4.3,3.6,3.1,3,2.7,4,4.7,4.9,4.4,21.3,3.2,4.2,11.8,5.5,4.1,1.9
Pennsylvania,12805537,6272521,49,6533016,51,705018,5.5,709879,5.5,779203,6.1,823389,6.4,827206,6.5,1681722,13.1,1489221,11.6,1699842,13.3,924152,7.2,889362,6.9,1278851,10,667406,5.2,330286,2.6,10140566,79.2,4905803,48.4,5234763,51.6,2276543,17.8,991667,43.6,1284876,56.4,12491105,97.5,10339488,80.7,1437081,11.2,23523,0.2,444588,3.5,3425,0,938428,7.3,243000,1.9,314432,2.5,871695,6462418,522536,2170495,1721861,2269407,34.2,66.5,78.8,78.9,79.1,78.1,71.9,56.5,25.7,6.6,73.9,77.3,70.5,32.9,80.9,74.8,49,67.7,77,85.8,17.3,10,5.5,5.7,4.3,3.5,3.3,3.6,3.6,3.1,4.8,5.1,4.6,24.1,3.5,4.2,9.5,5.7,4.3,2.3
Tennessee,6715984,3272135,48.7,3443849,51.3,405128,6,406018,6,437851,6.5,441907,6.6,436627,6.5,905358,13.5,841848,12.5,891828,13.3,449469,6.7,429550,6.4,642650,9.6,314717,4.7,113033,1.7,5207732,77.5,2506343,48.1,2701389,51.9,1070400,15.9,471577,44.1,598823,55.9,6573658,97.9,5221591,77.7,1122675,16.7,14637,0.2,119115,1.8,6380,0.1,361203,5.4,89260,1.3,142326,2.1,536579,3342919,369486,1110524,1029111,1008932,34.5,68.8,76.7,77.4,77.9,74.3,66.1,50.7,23,6.3,71.6,76,67.3,35.7,78.6,71.9,48.3,66.1,74.5,84.4,16,9,5.6,4.7,4.2,3.3,3.1,2.4,2.3,3.3,4.5,4.4,4.6,19.6,3.2,4,8.8,5.2,3.9,1.9
Texas,28304596,14062701,49.7,14241895,50.3,2020164,7.1,2014510,7.1,2105315,7.4,2029893,7.2,1985368,7,4122739,14.6,3833039,13.5,3539389,12.5,1673649,5.9,1515038,5.4,2090348,7.4,1000729,3.5,374415,1.3,20939433,74,10298806,49.2,10640627,50.8,3465492,12.2,1545061,44.6,1920431,55.4,27555516,97.4,20929140,73.9,3423231,12.1,135098,0.5,1360248,4.8,23905,0.1,11158751,39.4,1683894,5.9,749080,2.6,2044554,14277325,2257283,3647642,4343199,4435730,27.7,65.2,75.4,76.5,77.2,76.7,69.2,55.6,26.6,6.9,72.6,78.9,66.2,42.1,78.6,73.6,61.5,68.1,75.1,82.7,17.7,8.9,5.5,4.7,3.9,3.8,3.7,3.2,3.6,3.3,4.7,4.6,4.8,16.9,3.6,4.2,5.6,5,4.5,2.7
Washington,7405743,3698615,49.9,3707128,50.1,455015,6.1,465172,6.3,456754,6.2,445939,6,480895,6.5,1105343,14.9,977367,13.2,946140,12.8,484105,6.5,471254,6.4,683938,9.2,306192,4.1,127629,1.7,5759010,77.8,2859698,49.7,2899312,50.3,1117759,15.1,508652,45.5,609107,54.5,6967658,94.1,5582361,75.4,271584,3.7,93038,1.3,632156,8.5,48533,0.7,940792,12.7,339986,4.6,438085,5.9,451993,3952991,335603,854281,1347205,1447120,32.1,68.5,78.4,77,78.5,78.6,70.2,56,23.1,5.6,74,78.6,69.2,37.5,79.2,74.6,59.4,68.7,73.6,82.6,18.3,8.6,5,5.1,3.8,3.7,3.3,3.2,2.6,2.8,4.5,4.5,4.6,20.6,3.4,4,7.7,5.7,3.9,2.6
Wisconsin,5795483,2880454,49.7,2915029,50.3,333985,5.8,347700,6,374137,6.5,379515,6.5,401915,6.9,727114,12.5,698926,12.1,761175,13.1,429312,7.4,385520,6.7,553726,9.6,276045,4.8,126413,2.2,4516122,77.9,2228211,49.3,2287911,50.7,956184,16.5,432708,45.3,523476,54.7,5652246,97.5,4942176,85.3,370335,6.4,49261,0.8,159530,2.8,4177,0.1,397847,6.9,126767,2.2,143237,2.5,363032,2984563,199190,836948,1000968,964941,47.4,75.3,82.6,83.9,84.4,83.4,75.8,57.9,23.5,6,78.8,81.2,76.3,43.9,84.1,79.2,57.2,72.8,81.4,87.2,9.2,6.1,4.2,3.5,2.7,2.4,2.3,2.3,2.2,3.2,3.2,3.6,2.8,15.3,2.3,2.8,6.1,4,2.7,1.6
