MetroArea,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
"Detroit-Warren-Dearborn, MI Metro Area",4302043,2088833,48.6,2213210,51.4,252845,5.9,259375,6,284720,6.6,277396,6.4,278312,6.5,539777,12.5,533958,12.4,626257,14.6,320994,7.5,280219,6.5,374789,8.7,186277,4.3,87124,2,3325143,3325143,1589987,47.8,1735156,52.2,648190,648190,278498,43,369692,57,4206407,97.8,3002224,69.8,965109,22.4,12446,0.3,176941,4.1,1108,0,184406,4.3,48579,1.1,95636,2.2
"Green Bay, WI Metro Area",316519,158151,50,158368,50,19772,6.2,21851,6.9,20664,6.5,20151,6.4,20050,6.3,41818,13.2,39630,12.5,44186,14,23208,7.3,19015,6,26214,8.3,13502,4.3,6458,2,241857,241857,119380,49.4,122477,50.6,46174,46174,20731,44.9,25443,55.1,306577,96.9,276043,87.2,5668,1.8,6095,1.9,8128,2.6,28,0,22555,7.1,10615,3.4,9942,3.1
"Houston-The Woodlands-Sugar Land, TX Metro Area",6656946,3306193,49.7,3350753,50.3,486647,7.3,517311,7.8,492132,7.4,460113,6.9,459362,6.9,1003372,15.1,951972,14.3,867963,13,397089,6,349034,5.2,423280,6.4,184614,2.8,64057,1,4869218,4869218,2394328,49.2,2474890,50.8,671951,671951,299438,44.6,372513,55.4,6492534,97.5,4387895,65.9,1143291,17.2,24727,0.4,500359,7.5,1843,0,2429487,36.5,434419,6.5,164412,2.5
"Indianapolis-Carmel-Anderson, IN Metro Area",1988152,969424,48.8,1018728,51.2,135870,6.8,136537,6.9,144649,7.3,129977,6.5,130231,6.6,281741,14.2,264576,13.3,271847,13.7,128970,6.5,113422,5.7,146303,7.4,71640,3.6,32389,1.6,1488386,1488386,714392,48,773994,52,250332,250332,108031,43.2,142301,56.8,1940148,97.6,1548318,77.9,294279,14.8,4453,0.2,57467,2.9,63,0,128730,6.5,35568,1.8,48004,2.4
"Jacksonville, FL Metro Area",1449481,706130,48.7,743351,51.3,88100,6.1,89095,6.1,93261,6.4,92009,6.3,93793,6.5,208929,14.4,182014,12.6,201320,13.9,99768,6.9,89412,6.2,128572,8.9,60372,4.2,22836,1.6,1121708,1121708,538094,48,583614,52,211780,211780,92986,43.9,118794,56.1,1405053,96.9,1014599,70,314130,21.7,2585,0.2,57094,3.9,1461,0.1,119223,8.2,15184,1,44428,3.1
"Kansas City, MO-KS Metro Area",2088269,1023031,49,1065238,51,139363,6.7,148378,7.1,143413,6.9,132146,6.3,129467,6.2,290413,13.9,275157,13.2,281316,13.5,141355,6.8,122534,5.9,164964,7.9,81943,3.9,37820,1.8,1571995,1571995,759468,48.3,812527,51.7,284727,284727,123134,43.2,161593,56.8,2025430,97,1645819,78.8,261672,12.5,8284,0.4,57722,2.8,2510,0.1,184887,8.9,49423,2.4,62839,3
"Las Vegas-Henderson-Paradise, NV Metro Area",2114801,1056226,49.9,1058575,50.1,132074,6.2,141618,6.7,142100,6.7,130367,6.2,139075,6.6,312576,14.8,296119,14,285583,13.5,125356,5.9,120108,5.7,181016,8.6,84134,4,24675,1.2,1616237,1616237,802486,49.7,813751,50.3,289825,289825,135690,46.8,154135,53.2,2004961,94.8,1314736,62.2,232104,11,16922,0.8,204801,9.7,14568,0.7,646217,30.6,221830,10.5,109840,5.2
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13340068,6575344,49.3,6764724,50.7,831647,6.2,814432,6.1,826873,6.2,881666,6.6,986380,7.4,2051650,15.4,1825519,13.7,1856219,13.9,843775,6.3,713727,5.4,964385,7.2,511305,3.8,232490,1.7,10344073,10344073,5044478,48.8,5299595,51.2,1708180,1708180,741056,43.4,967124,56.6,12859772,96.4,7267784,54.5,890429,6.7,85476,0.6,2093603,15.7,39514,0.3,6015717,45.1,2482966,18.6,480296,3.6
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6012331,2914201,48.5,3098130,51.5,342434,5.7,340639,5.7,338302,5.6,348555,5.8,371269,6.2,808683,13.5,795889,13.2,874092,14.5,394016,6.6,353887,5.9,546947,9.1,338016,5.6,159602,2.7,4775586,4775586,2283713,47.8,2491873,52.2,1044565,1044565,447514,42.8,597051,57.2,5885173,97.9,4248409,70.7,1295408,21.5,7957,0.1,147612,2.5,1637,0,2632792,43.8,184150,3.1,127158,2.1
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3524583,1744650,49.5,1779933,50.5,232792,6.6,234430,6.7,238457,6.8,224633,6.4,219693,6.2,516396,14.7,464012,13.2,496779,14.1,248129,7,201494,5.7,260856,7.4,125530,3.6,61382,1.7,2679040,2679040,1311163,48.9,1367877,51.1,447768,447768,197656,44.1,250112,55.9,3408189,96.7,2816262,79.9,281345,8,18402,0.5,226181,6.4,638,0,200674,5.7,65361,1.9,116394,3.3
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1830298,892146,48.7,938152,51.3,115097,6.3,126680,6.9,115988,6.3,118745,6.5,129609,7.1,266575,14.6,253634,13.9,253057,13.8,124505,6.8,99675,5.4,138375,7.6,62473,3.4,25885,1.4,1400817,1400817,674439,48.1,726378,51.9,226733,226733,99439,43.9,127294,56.1,1786551,97.6,1426262,77.9,276422,15.1,5793,0.3,44791,2.4,396,0,126350,6.9,32887,1.8,43747,2.4
"New Orleans-Metairie, LA Metro Area",1262888,611632,48.4,651256,51.6,77109,6.1,83502,6.6,75618,6,76448,6.1,80201,6.4,192552,15.2,160260,12.7,170361,13.5,91631,7.3,78506,6.2,104597,8.3,50925,4,21178,1.7,979077,979077,466614,47.7,512463,52.3,176700,176700,77041,43.6,99659,56.4,1236345,97.9,733357,58.1,440361,34.9,2906,0.2,37639,3,170,0,109176,8.6,21912,1.7,26543,2.1
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",20182305,9770188,48.4,10412117,51.6,1245146,6.2,1193699,5.9,1224539,6.1,1241316,6.2,1359053,6.7,2954435,14.6,2673908,13.2,2865503,14.2,1355028,6.7,1169534,5.8,1621940,8,854754,4.2,423450,2.1,15764223,15764223,7507934,47.6,8256289,52.4,2900144,2900144,1218523,42,1681621,58,19590266,97.1,11709580,58,3433190,17,59785,0.3,2212742,11,5980,0,4856860,24.1,2168989,10.7,592039,2.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6069875,2933637,48.3,3136238,51.7,361655,6,365015,6,380526,6.3,399727,6.6,408746,6.7,848246,14,748741,12.3,852447,14,436454,7.2,367383,6.1,505711,8.3,265914,4.4,129310,2.1,4726183,4726183,2247737,47.6,2478446,52.4,900935,900935,381535,42.3,519400,57.7,5901815,97.2,4081353,67.2,1256068,20.7,12541,0.2,355209,5.9,2543,0,545061,9,194101,3.2,168060,2.8
"Phoenix-Mesa-Scottsdale, AZ Metro Area",4574531,2271321,49.7,2303210,50.3,296401,6.5,316306,6.9,324343,7.1,309673,6.8,306651,6.7,647947,14.2,602586,13.2,583789,12.8,269667,5.9,246158,5.4,393701,8.6,197436,4.3,79873,1.7,3446937,3446937,1696233,49.2,1750704,50.8,671010,671010,304737,45.4,366273,54.6,4423835,96.7,3571536,78.1,246270,5.4,102072,2.2,173160,3.8,8832,0.2,1388891,30.4,321965,7,150696,3.3
"Pittsburgh, PA Metro Area",2353045,1142933,48.6,1210112,51.4,120988,5.1,130011,5.5,119749,5.1,141630,6,142930,6.1,309845,13.2,266407,11.3,324323,13.8,185249,7.9,172472,7.3,236608,10.1,133360,5.7,69473,3,1900239,1900239,912016,48,988223,52,439441,439441,186404,42.4,253037,57.6,2295698,97.6,2046837,87,189005,8,1713,0.1,50915,2.2,669,0,38961,1.7,6559,0.3,57347,2.4
"San Francisco-Oakland-Hayward, CA Metro Area",4656132,2296824,49.3,2359308,50.7,263033,5.6,264613,5.7,259153,5.6,251611,5.4,281633,6,741492,15.9,674045,14.5,665515,14.3,313847,6.7,273853,5.9,382109,8.2,191398,4.1,93830,2,3716734,3716734,1819209,48.9,1897525,51.1,667337,667337,292690,43.9,374647,56.1,4401721,94.5,2342118,50.3,351413,7.5,22920,0.5,1186476,25.5,36096,0.8,1021469,21.9,462698,9.9,254411,5.5
"Seattle-Tacoma-Bellevue, WA Metro Area",3733580,1865516,50,1868064,50,234160,6.3,233407,6.3,216520,5.8,216187,5.8,245758,6.6,604182,16.2,526650,14.1,519916,13.9,249203,6.7,218247,5.8,280335,7.5,129939,3.5,59076,1.6,2916551,2916551,1448654,49.7,1467897,50.3,469350,469350,207895,44.3,261455,55.7,3495126,93.6,2612891,70,212314,5.7,30623,0.8,473435,12.7,34402,0.9,365564,9.8,131461,3.5,238454,6.4
"Tampa-St. Petersburg-Clearwater, FL Metro Area",2975225,1439869,48.4,1535356,51.6,161138,5.4,171212,5.8,166543,5.6,172411,5.8,175012,5.9,383455,12.9,367076,12.3,413449,13.9,208666,7,191214,6.4,313985,10.6,171464,5.8,79600,2.7,2369761,2369761,1130195,47.7,1239566,52.3,565049,565049,251326,44.5,313723,55.5,2889809,97.1,2324830,78.1,357976,12,9150,0.3,100038,3.4,2272,0.1,541869,18.2,95543,3.2,85416,2.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6098283,2979768,48.9,3118515,51.1,403868,6.6,403440,6.6,378549,6.2,380596,6.2,398975,6.5,929053,15.2,883782,14.5,877236,14.4,393308,6.4,335081,5.5,434602,7.1,197036,3.2,82757,1.4,4683490,4683490,2257889,48.2,2425601,51.8,714395,714395,311293,43.6,403102,56.4,5850413,95.9,3282044,53.8,1543325,25.3,16436,0.3,613621,10.1,3945,0.1,929746,15.2,391042,6.4,247870,4.1
