MetroArea,TotalPop,TotalMale,%TotalMale,TotalFemale,%TotalFemale,Under5,%Under5,5to9,%5to9,10to14,%10to14,15to19,%15to19,20to24,%20to24,25to34,%25to34,35to44,%35to44,45to54,%45to54,55to59,%55to59,60to64,%60to64,65to74,%65to74,75to84,%75to84,85andover,%85andover,18andover,%18andover,18andoverMale,%18andoverMale,18andoverFemale,%18andoverFemale,65andover,%65andover,65andoverMale,%65andoverMale,65andoverFemale,%65andoverFemale,Onerace,%Onerace,White,%White,BlackorAfricanAmerican,%BlackorAfricanAmerican,AmericanIndianandAlaskaNative,%AmericanIndianandAlaskaNative,Asian,%Asian,NativeHawaiianandOtherPacificIslander,%NativeHawaiianandOtherPacificIslander,HispanicLatino,%HispanicLatino,Someotherrace,%Someotherrace,Twoormoreraces,%Twoormoreraces
"Detroit-Warren-Dearborn, MI Metro Area",4326442,2107786,48.7,2218656,51.3,254096,5.9,256967,5.9,269716,6.2,269451,6.2,263781,6.1,581477,13.4,518098,12,593363,13.7,306961,7.1,302580,7,416416,9.6,207159,4.8,86377,2,3371991,3371991,1619193,48,1752798,52,709952,709952,308676,43.5,401276,56.5,4221793,97.6,2994876,69.2,962940,22.3,13225,0.3,198002,4.6,1704,0,197142,4.6,51046,1.2,104649,2.4
"Green Bay, WI Metro Area",321591,160669,50,160922,50,19591,6.1,20377,6.3,22352,7,21232,6.6,19986,6.2,39712,12.3,39751,12.4,43013,13.4,23487,7.3,20912,6.5,30004,9.3,16100,5,5074,1.6,246715,246715,122327,49.6,124388,50.4,51178,51178,23493,45.9,27685,54.1,311923,97,284270,88.4,7199,2.2,6511,2,8557,2.7,259,0.1,24404,7.6,5127,1.6,9668,3
"Houston-The Woodlands-Sugar Land, TX Metro Area",6997384,3473756,49.6,3523628,50.4,509990,7.3,501732,7.2,538882,7.7,488496,7,451018,6.4,1047078,15,1002346,14.3,894223,12.8,412345,5.9,370555,5.3,493702,7.1,213964,3.1,73053,1,5140529,5140529,2526024,49.1,2614505,50.9,780719,780719,349586,44.8,431133,55.2,6829154,97.6,4463287,63.8,1219918,17.4,29224,0.4,552614,7.9,5056,0.1,2632586,37.6,559055,8,168230,2.4
"Indianapolis-Carmel-Anderson, IN Metro Area",2048428,999436,48.8,1048992,51.2,135124,6.6,138995,6.8,148202,7.2,130799,6.4,127993,6.2,294315,14.4,272986,13.3,265539,13,134239,6.6,119158,5.8,167546,8.2,82111,4,31421,1.5,1543363,1543363,740862,48,802501,52,281078,281078,122145,43.5,158933,56.5,1991842,97.2,1552540,75.8,318095,15.5,2948,0.1,67856,3.3,1322,0.1,139431,6.8,49081,2.4,56586,2.8
"Jacksonville, FL Metro Area",1534701,750768,48.9,783933,51.1,93015,6.1,95382,6.2,100394,6.5,93705,6.1,90801,5.9,219361,14.3,194557,12.7,201302,13.1,109211,7.1,94180,6.1,149860,9.8,70199,4.6,22734,1.5,1190748,1190748,573309,48.1,617439,51.9,242793,242793,108757,44.8,134036,55.2,1481602,96.5,1062395,69.2,325384,21.2,4804,0.3,58444,3.8,409,0,141094,9.2,30166,2,53099,3.5
"Kansas City, MO-KS Metro Area",2142419,1050327,49,1092092,51,137372,6.4,143944,6.7,150662,7,135801,6.3,123035,5.7,301154,14.1,286042,13.4,269656,12.6,142849,6.7,133606,6.2,188749,8.8,91718,4.3,37831,1.8,1622968,1622968,785415,48.4,837553,51.6,318298,318298,139039,43.7,179259,56.3,2065001,96.4,1677330,78.3,262368,12.2,8229,0.4,59839,2.8,5051,0.2,196100,9.2,52184,2.4,77418,3.6
"Las Vegas-Henderson-Paradise, NV Metro Area",2231647,1112618,49.9,1119029,50.1,139920,6.3,138792,6.2,153373,6.9,135016,6.1,134338,6,332521,14.9,308397,13.8,296441,13.3,137039,6.1,127120,5.7,201469,9,96204,4.3,31017,1.4,1714018,1714018,848568,49.5,865450,50.5,328690,328690,152960,46.5,175730,53.5,2104090,94.3,1285689,57.6,264357,11.8,23704,1.1,219628,9.8,15694,0.7,701766,31.4,295018,13.2,127557,5.7
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13291486,6555718,49.3,6735768,50.7,789931,5.9,751661,5.7,852264,6.4,834251,6.3,911605,6.9,2099888,15.8,1794441,13.5,1794388,13.5,853764,6.4,762108,5.7,1051745,7.9,537275,4,258165,1.9,10403807,10403807,5076952,48.8,5326855,51.2,1847185,1847185,805414,43.6,1041771,56.4,12720502,95.7,7107103,53.5,871348,6.6,89302,0.7,2158975,16.2,38572,0.3,6003538,45.2,2455202,18.5,570984,4.3
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6198782,3010143,48.6,3188639,51.4,348120,5.6,326073,5.3,366289,5.9,351940,5.7,361611,5.8,834801,13.5,810117,13.1,869322,14,421020,6.8,382158,6.2,593245,9.6,363673,5.9,170413,2.7,4944394,4944394,2372606,48,2571788,52,1127331,1127331,486006,43.1,641325,56.9,6045254,97.5,4301983,69.4,1309196,21.1,14420,0.2,159552,2.6,3194,0.1,2841433,45.8,256909,4.1,153528,2.5
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3629190,1798067,49.5,1831123,50.5,233915,6.4,235964,6.5,245068,6.8,227861,6.3,219906,6.1,529805,14.6,491546,13.5,463940,12.8,258695,7.1,215197,5.9,301415,8.3,144737,4,61141,1.7,2772213,2772213,1361400,49.1,1410813,50.9,507293,507293,226499,44.6,280794,55.4,3500732,96.5,2845996,78.4,314994,8.7,22769,0.6,242873,6.7,711,0,217078,6,73389,2,128458,3.5
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1932099,947173,49,984926,51,122376,6.3,126572,6.6,123909,6.4,125020,6.5,123389,6.4,295581,15.3,267236,13.8,254164,13.2,127991,6.6,109590,5.7,157753,8.2,74617,3.9,23901,1.2,1486012,1486012,717430,48.3,768582,51.7,256271,256271,112490,43.9,143781,56.1,1879297,97.3,1486135,76.9,294180,15.2,5131,0.3,52604,2.7,1449,0.1,143097,7.4,39798,2.1,52802,2.7
"New Orleans-Metairie, LA Metro Area",1270399,614492,48.4,655907,51.6,79948,6.3,72197,5.7,84162,6.6,74809,5.9,73492,5.8,186733,14.7,162384,12.8,161402,12.7,87494,6.9,86596,6.8,122605,9.7,57720,4.5,20857,1.6,987568,987568,469743,47.6,517825,52.4,201182,201182,89209,44.3,111973,55.7,1243001,97.8,725467,57.1,448822,35.3,5650,0.4,34124,2.7,253,0,114026,9,28685,2.3,27398,2.2
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19979477,9672470,48.4,10307007,51.6,1206502,6,1128696,5.6,1230080,6.2,1188318,5.9,1261822,6.3,2942971,14.7,2604502,13,2678462,13.4,1348414,6.7,1246301,6.2,1759716,8.8,952774,4.8,430919,2.2,15690043,15690043,7481735,47.7,8208308,52.3,3143409,3143409,1334618,42.5,1808791,57.5,19326652,96.7,11524534,57.7,3420991,17.1,72874,0.4,2226627,11.1,9101,0,4924385,24.6,2072525,10.4,652825,3.3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6096372,2946054,48.3,3150318,51.7,351994,5.8,358323,5.9,383075,6.3,386539,6.3,387911,6.4,872147,14.3,756115,12.4,797716,13.1,430206,7.1,398629,6.5,557325,9.1,291221,4.8,125171,2.1,4775449,4775449,2274781,47.6,2500668,52.4,973717,973717,417127,42.8,556590,57.2,5914628,97,4011936,65.8,1285687,21.1,10565,0.2,369588,6.1,2542,0,591878,9.7,234310,3.8,181744,3
"Phoenix-Mesa-Scottsdale, AZ Metro Area",4857962,2415266,49.7,2442696,50.3,304660,6.3,312379,6.4,341168,7,322902,6.6,318182,6.5,699690,14.4,633615,13,601673,12.4,286866,5.9,276803,5.7,443135,9.1,233582,4.8,83307,1.7,3704034,3704034,1825414,49.3,1878620,50.7,760024,760024,345580,45.5,414444,54.5,4666239,96.1,3826597,78.8,277836,5.7,113770,2.3,192042,4,11965,0.2,1515683,31.2,244029,5,191723,3.9
"Pittsburgh, PA Metro Area",2324743,1131947,48.7,1192796,51.3,117740,5.1,117318,5,127655,5.5,132619,5.7,135332,5.8,312155,13.4,267240,11.5,297651,12.8,172437,7.4,180558,7.8,258687,11.1,140195,6,65156,2.8,1886029,1886029,908988,48.2,977041,51.8,464038,464038,200454,43.2,263584,56.8,2270338,97.7,2008492,86.4,190320,8.2,2325,0.1,59469,2.6,379,0,42268,1.8,9353,0.4,54405,2.3
"San Francisco-Oakland-Hayward, CA Metro Area",4729484,2343130,49.5,2386354,50.5,255397,5.4,245105,5.2,275736,5.8,255220,5.4,265621,5.6,770445,16.3,687334,14.5,646842,13.7,305648,6.5,289980,6.1,423312,9,213129,4.5,95715,2,3798163,3798163,1865538,49.1,1932625,50.9,732156,732156,323269,44.2,408887,55.8,4416883,93.4,2258551,47.8,341977,7.2,23664,0.5,1255010,26.5,31321,0.7,1033915,21.9,506360,10.7,312601,6.6
"Seattle-Tacoma-Bellevue, WA Metro Area",3939363,1972803,50.1,1966560,49.9,240310,6.1,241198,6.1,231352,5.9,218064,5.5,238725,6.1,669820,17,570762,14.5,514618,13.1,254479,6.5,232004,5.9,321934,8.2,142589,3.6,63508,1.6,3092686,3092686,1540997,49.8,1551689,50.2,528031,528031,235562,44.6,292469,55.4,3669363,93.1,2669825,67.8,236630,6,32150,0.8,553171,14,35635,0.9,402525,10.2,141952,3.6,270000,6.9
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3142663,1523799,48.5,1618864,51.5,168313,5.4,172708,5.5,178205,5.7,175933,5.6,174743,5.6,415551,13.2,389366,12.4,416076,13.2,217327,6.9,212008,6.7,348184,11.1,194689,6.2,79560,2.5,2516526,2516526,1204605,47.9,1311921,52.1,622433,622433,278250,44.7,344183,55.3,3023503,96.2,2427557,77.2,382296,12.2,9323,0.3,106874,3.4,1732,0.1,629987,20,95721,3,119160,3.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6251240,3060837,49,3190403,51,403717,6.5,387590,6.2,407116,6.5,391183,6.3,393546,6.3,932132,14.9,901992,14.4,856239,13.7,410568,6.6,354166,5.7,488148,7.8,234096,3.7,90747,1.5,4816925,4816925,2325207,48.3,2491718,51.7,812991,812991,357041,43.9,455950,56.1,5956835,95.3,3311568,53,1582494,25.3,16268,0.3,628076,10,4183,0.1,1009755,16.2,414246,6.6,294405,4.7
